Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active,Serious Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,
Azerbaijan,"3,631",+113,43 ,+2,"2,253","1,335",46,358,4,"245,609","24,249",
Hungary,"3,598",+42,470 ,+3,"1,454","1,674",29,372,49,"142,729","14,771",
Cameroon,"3,529",,140 ,,"1,567","1,822",28,133,5,,,
Thailand,"3,034",+1,56 ,,"2,888",90,61,43,0.8,"328,073","4,702",
Honduras,"2,955",+157,147 ,+1,349,"2,459",13,299,15,"10,775","1,090",
Uzbekistan,"2,939",+84,13 ,,"2,372",554,6,88,0.4,"460,000","13,768",
Guinea,"2,863",,18 ,,"1,525","1,320",18,219,1,"10,304",787,
Greece,"2,850",+10,166 ,+1,"1,374","1,310",22,273,16,"139,445","13,371",
Sudan,"2,728",,111 ,,286,"2,331",,62,3,281,6,
Senegal,"2,714",+97,30 ,,"1,186","1,498",6,163,2,"24,599","1,474",
Bosnia and Herzegovina,"2,338",+17,136 ,+2,"1,557",645,4,712,41,"55,624","16,943",
Bulgaria,"2,292",+33,116 ,+4,684,"1,492",33,330,17,"68,243","9,813",
Croatia,"2,234",+2,96 ,,"1,978",160,8,544,23,"57,021","13,880",
Ivory Coast,"2,153",,28 ,,"1,050","1,075",,82,1,"19,174",729,
Tajikistan,"2,140",+204,41 ,,641,"1,458",,225,4,,,
Guatemala,"2,133",+132,43 ,+5,155,"1,935",5,119,2,"20,820","1,165",
Cuba,"1,900",+13,79 ,,"1,573",248,8,168,7,"87,288","7,706",
North Macedonia,"1,858",+19,110 ,+4,"1,367",381,21,892,53,"22,767","10,928",
Djibouti,"1,828",+210,9 ,+2,"1,052",767,,"1,853",9,"20,056","20,335",
Iceland,"1,803",+1,10 ,,"1,789",4,,"5,288",29,"57,628","169,003",
Estonia,"1,794",+3,64 ,,956,774,2,"1,352",48,"72,464","54,631",
DRC,"1,731",+102,61 ,,302,"1,368",,19,0.7,,,
Lithuania,"1,577",+15,60 ,,"1,049",468,17,578,22,"245,580","90,080",
Somalia,"1,573",+71,61 ,+2,188,"1,324",2,99,4,,,
El Salvador,"1,571",+73,31 ,+1,531,"1,009",27,242,5,"62,838","9,694",
New Zealand,"1,503",,21 ,,"1,447",35,1,312,4,"238,725","49,552",
Gabon,"1,502",,12 ,,318,"1,172",9,677,5,"7,966","3,590",
Slovakia,"1,496",+1,28 ,,"1,231",237,3,274,5,"148,845","27,264",
Mayotte,"1,475",+105,19 ,+1,894,562,11,"5,423",70,"5,200","19,118",
Slovenia,"1,468",+1,105 ,+1,"1,340",23,4,706,51,"73,319","35,268",
Kyrgyzstan,"1,270",+27,14 ,,910,346,5,195,2,"94,441","14,504",
Maldives,"1,186",+43,4 ,,91,"1,091",9,"2,199",7,"11,775","21,830",
Hong Kong,"1,056",,4 ,,"1,026",26,1,141,0.5,"168,291","22,469",
Tunisia,"1,044",+1,47 ,+1,826,171,3,88,4,"41,620","3,526",
Guinea-Bissau,"1,038",,6 ,,42,990,,529,3,"1,500",764,
Kenya,"1,029",+66,50 ,,366,613,1,19,0.9,"49,405",921,
Sri Lanka,"1,027",+4,9 ,,584,434,1,48,0.4,"46,413","2,169",
Latvia,"1,016",+4,21 ,,694,301,3,538,11,"92,751","49,116",
Albania,964,+15,31 ,,758,175,1,335,11,"12,555","4,362",
Lebanon,961,+7,26 ,,251,684,4,141,4,"65,363","9,572",
Cyprus,922,+4,17 ,,516,389,10,764,14,"90,718","75,201",
Niger,914,,55 ,,734,125,,38,2,"5,909",245,
Mali,901,,53 ,,529,319,,45,3,"3,483",173,
Costa Rica,882,,10 ,,577,295,5,173,2,"20,741","4,076",
Paraguay,833,+4,11 ,,242,580,,117,2,"21,121","2,966",
Zambia,832,+60,7 ,,197,628,1,45,0.4,"19,014","1,038",
Equatorial Guinea,825,,7 ,,22,796,,591,5,854,611,
Burkina Faso,809,+13,52 ,+1,661,96,,39,2,,,
Andorra,761,,51 ,,628,82,3,"9,851",660,"3,750","48,543",
Venezuela,749,+131,10 ,,253,486,1,26,0.4,"616,562","21,676",
Uruguay,738,,20 ,,579,139,4,213,6,"34,794","10,020",
Georgia,713,+6,12 ,,475,226,6,179,3,"40,711","10,203",
118,712,,13 ,,651,48,4,,,,, 
Jordan,672,+23,9 ,,446,217,5,66,0.9,"148,482","14,569",
San Marino,656,+1,41 ,,220,395,1,"19,338","1,209","3,700","109,071",
Haiti,596,+63,22 ,+1,21,553,,52,2,"2,270",199,
Malta,584,+15,6 ,,465,113,1,"1,323",14,"54,866","124,297",
Palestine,577,+186,2 ,,346,229,,113,0.4,"44,876","8,822",
Sierra Leone,570,+36,34 ,+1,205,331,,72,4,,,
Chad,565,+20,57 ,+1,177,331,,35,3,,,
Channel Islands,555,,44 ,,479,32,,"3,196",253,"5,342","30,758",
Jamaica,520,,9 ,,145,366,,176,3,"8,828","2,983",
Tanzania,509,,21 ,,183,305,7,9,0.4,,,
Réunion,447,+1,1 ,+1,411,35,2,500,1,"17,200","19,227",
Taiwan,440,,7 ,,402,31,,18,0.3,"69,876","2,934",
Nepal,427,+25,2 ,,45,380,1,15,0.07,"110,566","3,803",
Congo,420,,15 ,,132,273,,76,3,,,
Ethiopia,389,+24,5 ,,122,262,,3,0.04,"65,760",574,
Madagascar,371,+45,2 ,,131,238,,13,0.07,"5,670",205,
CAR,366,, ,,18,348,,76,,"3,498",726,
Cabo Verde,349,+14,3 ,,85,261,,629,5,892,"1,606",
Togo,338,,12 ,,107,219,,41,1,"13,825","1,675",
Isle of Man,336,+1,24 ,,302,10,4,"3,954",282,"4,262","50,152",
Mauritius,332,,10 ,,322,0,,261,8,"95,666","75,237",
Montenegro,324,,9 ,,312,3,2,516,14,"10,167","16,188",
Vietnam,324,, ,,263,61,2,3,,"275,000","2,828",
Rwanda,314,+6, ,,216,98,,24,,"53,317","4,129",
